Count,Description,Model Number,Serial Number,MAC ID,Location
,Ubiquiti PoE Adapter 24V (1.25A),GP-H240-125G,,,"Radio Room, Rack 1, Level 3 (inside Box 5)"
,Ubiquiti PoE Adapter 24V (1.25A),GP-H240-125G,,,"Radio Room, Rack 1, Level 3 (inside Box 5)"
,Ubiquiti PoE Adapter 24V (1.25A),GP-H240-125G,,,"Radio Room, Rack 1, Level 3 (inside Box 5)"
,Ubiquiti PoE Adapter 24V (1.25A),GP-H240-125G,,,"Radio Room, Rack 1, Level 3 (inside Box 5)"
,AC/DC Adapter 48V 2A,4820,,,"Radio Room, Rack 1, Level 3 (inside Box 3)"
,Waterproof AGP GPS Antenna 1575.42MHz 3V-5V,,,,"Radio Room, Rack 1, Level 4 (Box 4)"
,Waterproof AGP GPS Antenna 1575.42MHz 3V-5V,,,,"Radio Room, Rack 1, Level 4 (Box 4)"
,Waterproof AGP GPS Antenna 1575.42MHz 3V-5V,,,,"Radio Room, Rack 1, Level 4 (Box 4)"
,ALFA 2.4GHz 7dBi Indoor Panel Antenna,APA-M04,,,"Radio Room, Rack 1, Level 4 (Box 5)"
,ALFA 2.4GHz 7dBi Indoor Panel Antenna,APA-M04,,,"Radio Room, Rack 1, Level 4 (Box 5)"
,ALFA 2.4GHz 7dBi Indoor Panel Antenna,APA-M04,,,"Radio Room, Rack 1, Level 4 (Box 5)"
,ALFA 2.4GHz 9dBi Antenna+Magnetic Base 2400-2500MHz,,,,"Radio Room, Rack 1, Level 4 (Box 5)"
,Texas Instruments T1 Launchpad Development Kit,CC3220x-LAUNCHXL,,,"Radio Room, Rack 1, Level 3 (inside Box 3)"
,Texas Instruments T1 Launchpad Development Kit,CC1312R1,,,"Radio Room, Rack 1, Level 3 (inside Box 3)"
,Texas Instruments T1 Launchpad Development Kit,CC1352R1,,,"Radio Room, Rack 1, Level 3 (inside Box 3)"
,Texas Instruments T1 Launchpad Development Kit,CC1350,,,"Radio Room, Rack 1, Level 3 (inside Box 3)"
,Texas Instruments T1 Launchpad Development Kit,CC1350,,,"Radio Room, Rack 1, Level 3 (inside Box 3)"
,Texas Instruments T1 Launchpad Development Kit,LAUNCHXL-CC1310,,,"Radio Room, Rack 1, Level 3 (inside Box 3)"
,Texas Instruments T1 Launchpad Development Kit,LAUNCHXL-CC1310,,,"Radio Room, Rack 1, Level 3 (inside Box 3)"
,Woobm-USB,,7E3D03821 82/750,,"Radio Room, Rack 1, Level 3 (inside Box 5)"
,JSER Cable Adapter SA-147,,,,"Radio Room, Rack 1, Level 3 (inside Box 5)"
,JSER Cable Adapter SA-147,,,,"Radio Room, Rack 1, Level 3 (inside Box 5)"
,JSER Cable Adapter SA-147,,,,"Radio Room, Rack 1, Level 3 (inside Box 5)"
,Ubiquiti XR9's,,0939 00156D945659,,"Radio Room, Rack 1, Level 3 (inside Box 5)"
,Ubiquiti XR9's,,0842 00156D942C95,,"Radio Room, Rack 1, Level 3 (inside Box 5)"
,Ubiquiti XR9's,,0836 00156D9423E1,,"Radio Room, Rack 1, Level 3 (inside Box 5)"
,Ubiquiti XR9's,,1111 00156D949248,,"Radio Room, Rack 1, Level 3 (inside Box 5)"
,Ubiquiti XR9's,,1311 00156D94CF0B,,"Radio Room, Rack 1, Level 3 (inside Box 5)"
,Ubiquiti XR9's,,1008 00156D946F7C,,"Radio Room, Rack 1, Level 3 (inside Box 5)"
,Ubiquiti XR9's,,0836 00156D9423EC,,"Radio Room, Rack 1, Level 3 (inside Box 5)"
,Ubiquiti XR9's,,1015 00156D9476F9,,"Radio Room, Rack 1, Level 3 (inside Box 5)"
2,Altelix Omni Directional  2 way splitter 2.4-6 GHz,,CS245852-NF,,"Radio Room, Rack 1, Level 3 (inside Box 5)"
,Startech.com 3 port Low Profile PCI High Speed USB 2.0 Card,,,,"Radio Room, Rack 1, Level 3 (inside Box 5)"
,Startech.com PCI Express to Low Profile PCI Card ,PEX 1PCl1,,,"Radio Room, Rack 1, Level 3 (inside Box 5)"
,Startech.com PCI Express to Low Profile PCI Card ,PEX 1PCl1,,,"Radio Room, Rack 1, Level 3 (inside Box 5)"
,Startech.com PCI Express to Low Profile PCI Card ,PEX 1PCl1,,,"Radio Room, Rack 1, Level 3 (inside Box 5)"
,Netgear ProSafe,,3MYA845S004A4,CC40D05667E9,"Radio Room, Rack 1, Level 3 (inside Box 5)"
,Netgear ProSafe,,3MYA845V001E8,CC40D0565399,"Radio Room, Rack 1, Level 3 (inside Box 5)"
,Mikrotik RouterBoard Case,,,,"Radio Room, Rack 1, Level 3 (inside Box 5)"
2,Mikrotik RouterBoard,,,,"Radio Room, Rack 1, Level 3 (inside Box 5)"
,Mikrotik RouterBoard,,3D78028E1E89/343,,"Radio Room, Rack 1, Level 3 (inside Box 5)"
,Mikrotik RouterBoard 433UL,,71E7071FF736/708,,"Radio Room, Rack 1, Level 3 (inside Box 5)"
,Mikrotik RouterBoard 433,,1A75019C0BED/847,,"Radio Room, Rack 1, Level 3 (inside Box 5)"
,Mikrotik RouterBoard 433,,206A0199AAE5/935,,"Radio Room, Rack 1, Level 3 (inside Box 5)"
,Mikrotik RouterBoard 433,,71E7078FDB91/708,,"Radio Room, Rack 1, Level 3 (inside Box 5)"
,Mikrotik RouterBoard 433,,3D7011BFB0F/343,,"Radio Room, Rack 1, Level 3 (inside Box 5)"
,Mikrotik RouterBoard 433,,3D78011BFB1E/343,,"Radio Room, Rack 1, Level 3 (inside Box 5)"
,Mikrotik RouterBoard 433,,71E70709CB39/708,,"Radio Room, Rack 1, Level 3 (inside Box 5)"
,Mikrotik RouterBoard 433L,,37DD016385B1/210,,"Radio Room, Rack 1, Level 3 (inside Box 5)"
,Mikrotik RouterBoard R42n-M,,,6C3B6BF43F20,"Radio Room, Rack 1, Level 3 (inside Box 5)"
,Mikrotik RouterBoard R42n-M,,,6C3B6BF43FA9,"Radio Room, Rack 1, Level 3 (inside Box 5)"
,Mikrotik RouterBoard R42n-M,,,6C3B6BF43F98,"Radio Room, Rack 1, Level 3 (inside Box 5)"
,Mikrotik RouterBoard R42n-M,,,6C3B6BF44079,"Radio Room, Rack 1, Level 3 (inside Box 5)"
,Mikrotik RouterBoard R42n-M,,,6C3B6BF43F9D,"Radio Room, Rack 1, Level 3 (inside Box 5)"
,Mikrotik RouterBoard R42n-M,,,6C3B6BF43F99,"Radio Room, Rack 1, Level 3 (inside Box 5)"
,Mikrotik RouterBoard R42n-M,,,6C3B6BF43FA3,"Radio Room, Rack 1, Level 3 (inside Box 5)"
,Mikrotik RouterBoard R42n-M,,,6C3B6BF43F9F,"Radio Room, Rack 1, Level 3 (inside Box 5)"
,,,,,
,Kerlink Wirnet Station,,,,"Radio Room, Rack 1, Level 4 (inside Box 2)"
,Kerlink Wirnet Station,,,,"Radio Room, Rack 1, Level 4 (inside Box 2)"
,Kerlink Wirnet Station,,,,"Radio Room, Rack 1, Level 4 (inside Box 2)"
,ASUS Pro Gaming/Aura B150 Motherboard,90MB0PF0-M0UAY0,G6M0AB160750,,"Radio Room, Rack 1, Level 4 "
,MSI MPG 850 watt (box only),GPU850V,,,"Radio Room, Rack 1, Level 4 "
,MSI MAG Z390 Tomahawk LCA1151 (9TH/8TH GEN) GLAN ATX Motherboard,,,,c/o Sir Dennis' house; Radio Room Rack 1 Level 4
,BLEE Power Supply,BL-100-3,,,"Radio Room, Rack 1, Level 4 (Box 3)"
,BLEE Power Supply,BL-100-3,,,"Radio Room, Rack 1, Level 4 (Box 3)"
,BLEE Power Supply,BL-100-3,,,"Radio Room, Rack 1, Level 4 (Box 3)"
2,AC/DC Adapter  48V 1.25A,LYD4801250UB,,,"Radio Room, Rack 1, Level 4 (Box 3)"
,OpenMesh 4G Power,,,,"Radio Room, Rack 1, Level 4 (Box 3)"
5,Carrier PoE Adapter,LZD201-12W-24V,,,"Radio Room, Rack 1, Level 4 (Box 3)"
,Marvell Espresso bin,,F0AD4E06CC55,,"Radio Room, Rack 1, Level 4 (Box 4)"
,Marvell Espresso bin,,F0AD4E06CC04,,"Radio Room, Rack 1, Level 4 (Box 4)"
,Marvell Espresso bin,,F0AD4E067C0A,,"Radio Room, Rack 1, Level 4 (Box 4)"
,TP Link PoE Injector,TL-POE 150S(UN) Ver 4.0,2184319009249,,"Radio Room, Rack 1, Level 4 (Box 3)"
,TP Link PoE Injector,TL-POE 150S(UN) Ver 4.0,2184319009251,,"Radio Room, Rack 1, Level 4 (Box 3)"
,TP Link PoE Injector,TL-POE 150S(UN) Ver 4.0,2184319009242,,"Radio Room, Rack 1, Level 4 (Box 3)"
,StarTech.com Rack Accessories 1U Cable Management Hook,,,,"Radio Room, Rack 1, Level 4 (Box 3)"
,StarTech.com Rack Accessories 1U Cable Management Hook,,,,"Radio Room, Rack 1, Level 4 (Box 3)"
,LoRa GPS Antenna,,,,"Radio Room, Rack 1, Level 4 (Box 4)"
,2 ways splitter 800-2500MHz 200W,SGR-GFQ-2,,,"Radio Room, Rack 1, Level 4 "
,Comba Indoor Wideband Power Divider 800-2500MHz,PS-N2-N200C,140221014 DH,,"Radio Room, Rack 1, Level 4 "
2,Yagi Antenna color white 900 MHz,,,,"Radio Room, Rack 1, Level 4 "
,TP-Link TL-ANT24120 Antenna,,,,"Radio Room, Rack 1, Level 4 "
,Omni Fiber 890-960/1790-2170MHz 9/12dBi color gray Antenna,9/21 00HA12,,,"Radio Room, Rack 1, Level 4 "
4,Omni Fiber Antenna color gray,,,,"Radio Room, Rack 1, Level 4 "
,Laird FG9023 Antenna color white with gold,,,,"Radio Room, Rack 1, Level 4 "
2,LoRa Fiberglass Antenna 860-930MHz 3 dBi with pigtail,Antenna-868MHz,,,"Radio Room, Rack 1, Level 4 "
,Altelix Omni Directional Antenna,,,,"Radio Room, Rack 1, Level 4 "
,Altelix Omni Directional Antenna color gray P/N: AUV2458G8-NF,,,,"Radio Room, Rack 1, Level 4 "
,Omnidirectional fiberglass sky 1805-1880MHz 9dBi,,,,"Radio Room, Rack 1, Level 4 "
,Omni Fiberglass Antenna 863-870MHz 5dBi,AMXF-900-5,,,"Radio Room, Rack 1, Level 4 "
,Omni Antenna color gray,,,,"Radio Room, Rack 1, Level 4 "
,Omni directional leather fiberglass sky 2100-21700MHz 9dBi,,,,"Radio Room, Rack 1, Level 4 "
,Red Container 1 - Shrinkable Tube and Wire,,,,"Radio Room, Rack 1, Level 4 "
,,,,,
,Leveler,,,,"Radio Room, Rack 1, Level 5"
,Circuit Breaker Case,,,,"Radio Room, Rack 1, Level 5"
,Aerocool Chassis,,,,"Radio Room, Rack 1, Level 5"
,Integrated LED Tube T5/60,,,,"Radio Room, Rack 1, Level 5"
,Ubiquiti Precision Alignment Kit for 620mm Dish Reflector,,,,"Radio Room, Rack 1, Level 5"
,Ubiquiti Precision Alignment Kit for 620mm Dish Reflector,,,,"Radio Room, Rack 1, Level 5"
,Ubiquiti Precision Alignment Kit for 620mm Dish Reflector,,,,"Radio Room, Rack 1, Level 5"
,Ubiquiti Precision Alignment Kit for 620mm Dish Reflector,,,,"Radio Room, Rack 1, Level 5"
2,Ubiquiti LiteBeam M5,,,,"Radio Room, Rack 1, Level 5"
,,,,,
,1 box CPE Parts,,,,"Radio Room, Rack 2, Level 1"
3,Thermal Camera / Scanner,K3 GP100,,,"Radio Room, Rack 2, Level 1 (inside big black pelican)"
,Globe At Home Prepaid WIFI,ZLT S10G,S10G868798058182197,D8D866D186A,"Radio Room, Rack 2, Level 1 (inside big black pelican)"
,Smart Bro Home WiFi - 9644462181 ; sim registered already,,,,"Radio Room, Rack 2, Level 1 (inside big black pelican)"
,Smart Bro Home WiFi - 9644342062,IMEI: 860601051553026,R051210918008218,E47DEB6BD4FF,"Radio Room, Rack 2, Level 1 (inside big black pelican)"
,PLDT Smart Home WiFi powered by Smart LTE - Model: R051; 12V 1A - 9642998332,IMEI: 860601050372832,R051201123037283,E47DEB5625AD,"Radio Room, Rack 2, Level 1 (inside big black pelican)"
,PLDT Smart Home WiFi powered by Smart LTE - Model: R051; 12V 1A - 9642980285,IMEI: 860601050393598,R051201123039359,E47DEB562DC9,"Radio Room, Rack 2, Level 1 (inside big black pelican)"
,PLDT Smart Home WiFi powered by Smart LTE - Model: R051; 12V 1A - 9642559251,IMEI: 860601050392269,R051201123039226,E47DEB562D44,"Radio Room, Rack 2, Level 1 (inside big black pelican)"
,PLDT Smart Home WiFi powered by Smart LTE - Model: R051; 12V 1A - 9642874118,IMEI: 860601050326333,R051201123032633,E47DEB561383,"Radio Room, Rack 2, Level 1 (inside big black pelican)"
,PLDT Smart Home WiFi powered by Smart LTE - Model: R051; 12V 1A - 9642871295,IMEI: 860601050254535,R051201123025453,E47DEB55F777,"Radio Room, Rack 2, Level 1 (inside big black pelican)"
,PLDT Smart Home WiFi powered by Smart LTE - Model: R051; 12V 1A - 9642559253,IMEI: 860601050294903,R051201123029490,E47DEB56073C,"Radio Room, Rack 2, Level 1 (inside big black pelican)"
,EdgePoint Intelligent WISP Control with FiberProtect S16,EP-S16,,1903G 18EB292C6D41,new Isabela condominium Sept 2024
,EdgePoint Intelligent WISP Control with FiberProtect S16,EP-S16,,1903G 18EB292C7074,old Isabela condominium defective in Sept 2024 (SCADA)
,EdgePoint Intelligent WISP Control with FiberProtect S16,EP-S16,,1903G 18E8292C6F1E,"Zen, Makati - Tito Tammy"
,EdgePoint Intelligent WISP Control with FiberProtect S16,EP-S16,,1903G 18E8292C6E82,Nazarene
,Ubiquiti Air Fiber 8x8 MIMO Multiplexer,AF-MPx8,1629P007360,,"Radio Room, Rack 2, Level 1 (inside the box)"
,Ubiquiti Air Fiber 8x8 MIMO Multiplexer,AF-MPx8,1629P007174,,"Radio Room, Rack 2, Level 1 (inside the box)"
,Ubiquiti Air Fiber 8x8 MIMO Multiplexer,AF-MPx8,1629P007277,,"Radio Room, Rack 2, Level 1 (inside the box)"
,Ubiquiti Air Fiber 8x8 MIMO Multiplexer,AF-MPx8,1629P007278,,"Radio Room, Rack 2, Level 1 (inside the box)"
,,,,,
,Gray Pelican,000208,,,"Radio Room, Rack 2, Level 2"
,Kathrein 741984V01 XPOL Antenna 1710-2170 MHz 11.5dBi,,,,"Radio Room, Rack 2, Level 2 "
,Kathrein 741984V01 XPOL Antenna 1710-2170 MHz 11.5dBi,,,,"Radio Room, Rack 2, Level 2 "
,Ubiquiti NanoSwitch Outdoor 4-Port PoE Passthrough Switch,N-SW,18062905456,,"Radio Room, Rack 2, Level 2"
,Ubiquiti NanoSwitch Outdoor 4-Port PoE Passthrough Switch,N-SW,18062905532,,"Radio Room, Rack 2, Level 2"
,Ubiquiti NanoSwitch Outdoor 4-Port PoE Passthrough Switch,N-SW,18062906881,,"Radio Room, Rack 2, Level 2"
,Ubiquiti NanoSwitch Outdoor 4-Port PoE Passthrough Switch,N-SW,18092901206,,"Radio Room, Rack 2, Level 2"
,Ubiquiti NanoSwitch Outdoor 4-Port PoE Passthrough Switch,N-SW,18092901170,,"Radio Room, Rack 2, Level 2"
,Ubiquiti NanoSwitch Outdoor 4-Port PoE Passthrough Switch,N-SW,18062906915,,"Radio Room, Rack 2, Level 2"
,Ubiquiti NanoSwitch Outdoor 4-Port PoE Passthrough Switch,N-SW,18062906742,,"Radio Room, Rack 2, Level 2"
,Ubiquiti NanoSwitch Outdoor 4-Port PoE Passthrough Switch,N-SW,18062906739,,"Radio Room, Rack 2, Level 2"
,Ubiquiti NanoSwitch Outdoor 4-Port PoE Passthrough Switch,N-SW,18062906716,,"Radio Room, Rack 2, Level 2"
,Ubiquiti NanoSwitch Outdoor 4-Port PoE Passthrough Switch,N-SW,18062906755,,"Radio Room, Rack 2, Level 2"
,Ubiquiti NanoSwitch Outdoor 4-Port PoE Passthrough Switch,N-SW,18062906882,,"Radio Room, Rack 2, Level 2"
,Ubiquiti NanoSwitch Outdoor 4-Port PoE Passthrough Switch,N-SW,18062906744,,"Radio Room, Rack 2, Level 2"
,Ubiquiti NanoSwitch Outdoor 4-Port PoE Passthrough Switch,N-SW,18062907788,,"Radio Room, Rack 2, Level 2"
,Ubiquiti Unifi AP LR,UAP-LR,,1535G44D9E774407E - b7qY3E,"Radio Room, Rack 2, Level 2 (inside green box 1)"
,Ubiquiti Unifi AP LR,UAP-LR,,1618G802AA82CEC1B - 1351ns,"Radio Room, Rack 2, Level 2 (inside green box 1)"
,Ubiquiti Unifi AP AC Lite,UAP-AC-LITE,,1543G44D9E7903A10 - dyfden,"Radio Room, Rack 2, Level 2 (inside green box 1)"
,Ubiquiti Air Fiber 5x,AF-5X,,1734P802AA8CEBEA1,"Radio Room, Rack 2, Level 2 (inside green box 1)"
,GO-IP Gateway 2,383F1004R6A0,8MCDRM17053280,,Wooden Cabinet last level
,Ubiquiti Air Gateway LR airMAX 12-24VDC,AirGateway,,1731G 788A206A1D94,"Radio Room, Rack 2, Level 2 (inside green box 1)"
,Ubiquiti Air Gateway LR airMAX 12-24VDC,AirGateway,,1330G DC9FDB9AF9F3,"Radio Room, Rack 2, Level 2 (inside green box 1)"
,Ubiquiti Picostation M2,,,,"Radio Room, Rack 2, Level 2 (inside green box 1)"
,Antenna look like small box,,,,Wooden Cabinet last level
,,,,,
202,Carlson Internet,,,,"Radio Room, Rack 2, Level 3"
,Unifi AC Mesh Pro AP,UAP-AC-M-PRO-US,1828G 788A20B0C222 -UrhRC3,,"Radio Room, Rack 2, Level 3"
,Unifi AC Mesh Pro AP,UAP-AC-M-PRO-US,1825G 788A20B0B02E - YYYj70,,"Radio Room, Rack 2, Level 3"
,Unifi AC Mesh Pro AP,UAP-AC-M-PRO-US,1825G 788A20B0AF96 - egm0w,,"Radio Room, Rack 2, Level 3"
,Unifi AC Mesh Pro AP,UAP-AC-M-PRO-US,1734G 788A2023B243 - link5V,,"Radio Room, Rack 2, Level 3"
,Unifi AC Mesh Pro AP,UAP-AC-M-PRO-US,1734G 788A2023B2C6 - PEPCPo,,"Radio Room, Rack 2, Level 3"
,Unifi AC Mesh Pro AP,UAP-AC-M-PRO-US,1734G 788A2023B53F - HfXMYo,,"Radio Room, Rack 2, Level 3"
,Unifi AC Mesh Pro AP,UAP-AC-M-PRO-US,1824G 788A20B0AB45 - WBNt65,,"Radio Room, Rack 2, Level 3"
,Unifi AC Mesh Pro AP,UAP-AC-M-PRO-US,1719G 788A20230A66 - Q0kgMY,,"Radio Room, Rack 2, Level 3"
,Unifi AC Mesh Pro AP,UAP-AC-M-PRO-US,1734G 788A2023B311 - t6ySCp,,"Radio Room, Rack 2, Level 3"
,Unifi AC Mesh Pro AP,UAP-AC-M-PRO-US,1734G 788A2023B22B - w0ZlJd,,"Kapitolyo, Pelangi"
,,,,,
,Thermaltake additional accessories (inside brown box),,,,"Radio Room, Rack 2, Level 4"
,Directional Antenna 6980960/1710-2700MHz 8dBi,KD-07278X65-A,KET2017601010001,,"Radio Room, Rack 2, Level 4"
,Directional Antenna 6980960/1710-2700MHz 8dBi,KD-07278X65-A,KET2017601010002,,"Radio Room, Rack 2, Level 4"
,Directional Antenna 6980960/1710-2700MHz 8dBi,KD-07278X65-A,KET2017601010003,,"Radio Room, Rack 2, Level 4"
,XX-Polarized Panel Antenna,KBT 65DP0808-0727RT0-C,,,"Radio Room, Rack 2, Level 4"
,XX-Polarized Panel Antenna,KBT 65DP0808-0727RT0-C,,,"Radio Room, Rack 2, Level 4"
,XX-Polarized Panel Antenna,KBT 65DP0808-0727RT0-C,,,"Radio Room, Rack 2, Level 4"
,XX-Polarized Panel Antenna,KBT 65DP0808-0727RT0-C,,,"Radio Room, Rack 2, Level 4"
,,,,,
,Altelix Omni Directional Antenna P/N: AUZ4G1ZMZ - NF,,,,"Radio Room, Rack 2, Level 5"
,Dual Pol Antenna 11dBi,ANT2400Q11A-DP,1804602001,,"Radio Room, Rack 2, Level 5"
,Dual Pol Antenna 11dBi,ANT2400Q11A-DP,1409109010,,"Radio Room, Rack 2, Level 5"
3,Black Antenna,,,,"Radio Room, Rack 2, Level 5"
2,Silver Antenna TDJ-400BM12 450-470MHz 16dBi,,,,"Radio Room, Rack 2, Level 5"
,Omni Fiberglass Antenna 863-870MHz 10dBi,AMFX-8090-10,,,"Radio Room, Rack 2, Level 5"
,Omni Directional Fiberglass Antenna 910-920MHz 10dBi,AMFX-8090-10,,,"Radio Room, Rack 2, Level 5"
,Skywave DB900 Antenna 890-960MHz 14dBi,DB900,,,"Radio Room, Rack 2, Level 5"
,Omni Antenna 2.4GHz 15dBi 2400-2483.5 MHz,ANT2400Q15V,1802001006,,"Radio Room, Rack 2, Level 5"
,Omni Antenna 2.4GHz 15dBi 2400-2483.5 MHz,ANT2400Q15V,1802001005,,"Radio Room, Rack 2, Level 5"
,Omni Antenna 2.4GHz 15dBi 2400-2483.5 MHz,ANT2400Q15V,,,"Radio Room, Rack 2, Level 5"
,Gray Antenna 824-960MHz,,,,"Radio Room, Rack 2, Level 5"
,Omnidirectional FRP Antenna 9dBi 728-894MHz,,,,"Radio Room, Rack 2, Level 5"
,Diamond Antenna X-50 color white,,,,"Radio Room, Rack 2, Level 5"
,Omni Fiberglass Antenna 863-870MHz 10dBi,,,,"Radio Room, Rack 2, Level 5"
2,Omni Fiberglass Antenna 863-870MHz 8dBi,,,,"Radio Room, Rack 2, Level 5"
,Omni Fiberglass Antenna 910-920MHz 10dBi,,,,"Radio Room, Rack 2, Level 5 "
2,Omni Fiberglass Antenna 910-920MHz 6dBi,,,,"Radio Room, Rack 2, Level 5 "
,Omni Directional Antenna 2400-2483MHz 6dBi/100W,2400HA6X,,,"Radio Room, Rack 2, Level 5"
,Omni Directional Antenna with Rocket M5 (1545G 44D9E7AA2B6F),,,,"Radio Room, Rack 2, Level 5"
2,Yagi Antenna,,,,"Radio Room, Rack 2, Level 5"
,Yagi Antenna with color orange,,,,"Radio Room, Rack 2, Level 5"
,Skywave Antenna 2400-2700MHz 20dBi,2500SPD5,,,"Radio Room, Rack 2, Level 5"
,Sectoral Antenna 2400-2485MHz 16dBi,ANT2400D 16VH 120,,,"Radio Room, Rack 2, Level 5"
2,TVWS Antenna - Yellow,,,,
2,Airmax 900MHz 16 dBi carrier class yagi,,,,
1,RCTC15 UHF-400-470MHz Yagi,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,Tripod - big,,,,"Radio Room, in between Rack 2 and wooden cabinet"
2,tripod - small,,,,"Radio Room, in between Rack 2 and wooden cabinet"
,Antenna Channel,UV-88,,,"Radio Room, in between Rack 2 and wooden cabinet"
,,,,,
,Jason Stuff CPE Board,,,,"Radio Room, Wooden Cabinet (double door), Level 1 inside the box"
,Playsafe Temperature Scanner,,,,"Radio Room, Wooden Cabinet (double door), Level 1"
,Ziso Temperature scanner,,,,"Radio Room, Wooden Cabinet (double door), Level 1"
,HK3 temperature scanner,,,,"Radio Room, Wooden Cabinet (double door), Level 1"
10,CPE case color grey,,,,"Radio Room, Wooden Cabinet (double door), Level 1"
,Panther AC Automatic Voltage Regulator,,,,"Radio Room, Wooden Cabinet (double door), Level 1"
,EpsonProjector - defective,EMP-50,,,"Radio Room, Wooden Cabinet (double door), Level 1"
6,T-Finder Minew,,,,"Radio Room, Wooden Cabinet (double door), inside the box Level 2"
3,iBeacon,,,,"Radio Room, Wooden Cabinet (double door), inside the box Level 2"
3,Model:C6 - button w/ sling used at contact tracing,,,,"Radio Room, Wooden Cabinet (double door), inside the box Level 2"
21,Heat Sink plate silver,,,,"Radio Room, Wooden Cabinet (double door), inside the box Level 2"
3,5.0 usb dongle bluetooth,,,,"Radio Room, Wooden Cabinet (double door), inside the box Level 2"
2,l-type usb male to female ,,,,"Radio Room, Wooden Cabinet (double door), inside the box Level 2"
63,LED badge ; welcome tag,,,,"Radio Room, Wooden Cabinet (double door), inside the box Level 2"
,raspberry pi case,,,,"Radio Room, Wooden Cabinet (double door), inside the box Level 2"
,Hard Drive in Box,,,,"Radio Room, Wooden Cabinet (double door), Level 2"
,Aquarium filter with case - old,,,,"Radio Room, Wooden Cabinet (double door), Level 2"
,Tripod white - defective,,,,"Radio Room, Wooden Cabinet (double door), Level 2"
,Toilet Close Tab,,,,"Radio Room, Wooden Cabinet (double door), Level 2"
,Dust Mask,,,,"Radio Room, Wooden Cabinet (double door), Level 2"
,Globe One,WG3526,,78A351464B74,"Radio Room, Wooden Cabinet (double door), Level 2"
,Globe Two,WG3526,,78A35144CE3C,"Radio Room, Wooden Cabinet (double door), Level 2"
,Globe Three,WG3526,,78A3514647D4,"Radio Room, Wooden Cabinet (double door), Level 2"
,Raspberry Pi with HDMI and connectors,,O0R0004,,"Radio Room, Wooden Cabinet (double door), Level 2"
,Miscellaneous,,,,"Radio Room, Wooden Cabinet (double door), Level 2"
,Aerial Antenna,,,,"Radio Room, Wooden Cabinet (double door), Level 2"
,Huawei Mediapad T5 10 inch tablet PC,,860556045343381,,"Radio Room, Wooden Cabinet (double door), Level 2"
,Harmony,O0R0004,1519WD082B08,,"Radio Room, Wooden Cabinet (double door), Level 2"
,HealthMate Forever,,,,"Radio Room, Wooden Cabinet (double door), Level 2"
,Mobile HDD 1TB,,WDE9MCMN,,"Radio Room, Wooden Cabinet (double door), Level 2"
,Dennis Protoype LTE Modem,,,,"Radio Room, Wooden Cabinet (double door), Level 2"
,Single Board,,,,"Radio Room, Wooden Cabinet (double door), Level 2"
,IOT Fish Box - From Jason,,,,"Radio Room, Wooden Cabinet (double door), Level 2"
,,,,,
2,In-house Potable UPVC PTN GS Elbow 90 63mm - color blue,,,,"Radio Room, Wooden Cabinet (single door) Level 1"
2,Cord Connect - color orange,,,,"Radio Room, Wooden Cabinet (single door) Level 1"
,Dynamo ATX Power Supply,DYNAMO-600,,,"Radio Room, Wooden Cabinet (single door) Level 1"
,Cougar GX 1050W 110-240V 50-60Hz 13-7A,H1012011250,,,"Radio Room, Wooden Cabinet (single door) Level 1"
,Laptop Battery - defective,,,,"Radio Room, Wooden Cabinet (single door) Level 1"
,cable motherboard,,,,"Radio Room, Wooden Cabinet (single door) Level 1"
,Sandflex Blade,,,,"Radio Room, Wooden Cabinet (single door) Level 1"
,Lenox Blade,,,,"Radio Room, Wooden Cabinet (single door) Level 1"
,ss u-bolt,,,,"Radio Room, Wooden Cabinet (single door) Level 1"
,Wago (inside Uniqlo plactic),,,,"Radio Room, Wooden Cabinet (single door) Level 1"
,Davao Demo BT Devices (details - see Placesafe BT Devices sheet),,,,"Radio Room, Wooden Cabinet (single door) Level 1 (inside black bag)"
,"Aukey Ora Lens, 10x MacroLens",X0015EBTT7,,,"Radio Room, Wooden Cabinet (single door) Level 1 - An Eye Project"
,"Aukey Ora Lens, 10x MacroLens",X0015EBTT7,,,"Radio Room, Wooden Cabinet (single door) Level 1 - An Eye Project"
,X-LENS Macro Silver 3 in 1 Macro Set,,,,"Radio Room, Wooden Cabinet (single door) Level 1 - An Eye Project"
,Photo Case,,,,"Radio Room, Wooden Cabinet (single door) Level 1 - An Eye Project"
,Ubeesize Selfie Ring Light,,,,"Radio Room, Wooden Cabinet (single door) Level 1 - An Eye Project"
,,,,,
,Starlink Gigabit Ethernet Adapter,,,,"Radio Room, Wooden Cabinet (single door) Level 2 "
,Board insyde 1772H4400L085 - inside zip lock,,,,"Radio Room, Wooden Cabinet (single door) Level 2 "
,AC Adapter 100-240V 1.0A 50-60Hz  -  inside zip lock,EA1024H1-120,,,"Radio Room, Wooden Cabinet (single door) Level 2 "
3,"CL001 (1770190,1770191,17700193)  -  inside zip lock",,,,"Radio Room, Wooden Cabinet (single door) Level 2 "
3,"small container (consisting of power supply, battery, connectors)",,,,"Radio Room, Wooden Cabinet (single door) Level 2 "
2,"Eightwood RF coax coaxial semi-flexible RG402.141"" cable, 10 ft",,,,"Radio Room, Wooden Cabinet (single door) Level 2 "
